user_id_id	last_sub	total_points	rank	tries
facebook|716799288509103	2017-09-27 00:54:49.971913	0	256	510510
facebook|723507017847665	2017-10-02 12:35:14.744120	0	484	510510
facebook|729299750598623	2017-09-27 17:23:59.747275	0	310	510510
facebook|752668158274475	2017-09-26 13:42:02.849084	0	220	510510
facebook|841578662672848	2017-10-01 14:49:13.693164	0	461	510510
facebook|885349794948055	2017-09-28 01:28:06.149494	0	319	510510
facebook|889440084537609	2017-09-25 16:46:23.649558	0	148	510510
facebook|991944560946725	2017-09-25 13:52:44.608811	0	65	510510
facebook|994823453989294	2017-10-04 03:12:17.721890	0	532	510510
google-oauth2|100006126568690042751	2017-10-12 14:29:10.076138	0	603	510510
google-oauth2|100121644509698684467	2017-09-26 12:10:11.270443	0	209	510510
google-oauth2|100128301346574677092	2017-09-30 11:44:29.138208	0	431	510510
google-oauth2|100152048910525238074	2017-09-25 17:49:13.256353	0	159	510510
google-oauth2|100181068572034509657	2017-09-27 02:30:44.042565	0	259	510510
google-oauth2|100239683775183990800	2017-10-03 16:25:10.668686	0	524	510510
google-oauth2|100262867850128977614	2017-09-25 14:11:11.961832	0	81	510510
google-oauth2|100268834017484013987	2017-09-29 14:22:37.277299	0	401	510510
google-oauth2|100487910902307622450	2017-09-25 14:07:28.032337	0	78	510510
google-oauth2|100505569040089679341	2017-09-25 14:08:06.465219	0	79	510510
google-oauth2|100511349271056158974	2017-09-27 12:01:22.415592	100	34	170170
google-oauth2|100521885260238633895	2017-10-01 10:26:44.856258	100	44	170170
google-oauth2|100575296082696314811	2017-09-29 09:15:31.776552	0	387	510510
google-oauth2|100699356183656841344	2017-09-30 15:19:28.844987	0	441	510510
google-oauth2|100723626965423610860	2017-10-02 14:16:15.314225	0	485	510510
google-oauth2|100737791025426744672	2017-09-26 13:21:27.769126	0	218	510510
google-oauth2|100740375579436565192	2017-10-02 16:34:27.034462	0	496	510510
google-oauth2|100798529059306198839	2017-10-04 08:28:00.303448	0	536	510510
google-oauth2|100949464690100818032	2017-10-03 16:58:35.718574	0	528	510510
google-oauth2|100956977333542450805	2017-09-27 01:37:38.509694	0	257	510510
google-oauth2|101018593116865978034	2017-09-26 17:51:51.926910	0	250	510510
google-oauth2|101043580377730629775	2017-10-02 06:00:06.778083	0	475	510510
google-oauth2|101046658885035294496	2017-09-25 15:34:54.354255	0	124	510510
google-oauth2|101125248315465473628	2017-09-28 17:37:30.058363	0	362	510510
google-oauth2|101160478989571646019	2017-09-25 16:45:38.016054	0	147	510510
google-oauth2|101223619846215543572	2017-10-04 16:41:23.727879	0	564	510510
